[NOTUS TEXTFILE V3.1]
File Created: 13-Jul-2019 13:38:00
Tow Date: 13-Jul-2019 8:27:04


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
A96N,10:01:15,---,---,---,---,---,
A96N,10:01:59,---,---,---,---,---,
A96N,10:02:43,---,---,---,---,---,
A96N,10:03:27,---,---,---,---,---,
A96N,10:04:11,---,---,---,---,---,
A96N,10:04:55,---,---,---,---,---,
A96N,10:05:39,---,---,---,---,---,
A96N,10:06:23,---,---,---,---,---,
A96N,10:07:07,---,---,---,---,---,
A96N,10:07:49,---,---,---,---,---,
A96N,10:08:33,---,---,---,---,---,
A96N,10:09:14,1405.8,---,---,---,---,
A96N,10:09:57,---,---,---,---,---,
A96N,10:10:38,---,---,---,---,---,
A96N,10:11:22,---,---,---,---,---,
A96N,10:12:06,---,---,---,---,---,
A96N,10:12:51,---,---,---,---,---,
A96N,10:13:35,---,---,---,---,---,
A96N,10:14:18,---,---,---,---,---,
A96N,10:15:02,---,---,---,---,---,
A96N,10:15:45,---,---,---,---,---,
A96N,10:16:29,---,---,---,---,---,
A96N,10:17:14,---,---,---,---,---,
A96N,10:17:58,---,---,---,---,---,
A96N,10:18:42,---,---,---,---,---,
A96N,10:19:26,---,---,---,---,---,
A96N,10:20:10,---,---,---,---,---,
A96N,10:20:54,---,---,---,---,---,
A96N,10:21:38,---,---,---,---,---,
A96N,10:22:22,---,---,---,---,---,
A96N,10:23:06,---,---,---,---,---,
A96N,10:23:50,---,---,---,---,---,
A96N,10:24:34,---,---,---,---,---,
A96N,10:25:18,---,---,---,---,---,
A96N,10:26:02,---,---,---,---,---,
A96N,10:26:47,---,---,---,---,---,
A96N,10:27:31,---,---,---,---,---,
A96N,10:28:15,---,---,---,---,---,
A96N,10:28:59,---,---,---,---,---,
A96N,10:29:34,49.5,---,---,---,---,
A96N,10:30:10,50.0,---,---,---,---,
A96N,10:30:47,50.3,---,---,---,---,
A96N,10:31:22,49.7,---,---,---,---,
A96N,10:31:57,49.6,---,---,---,---,
A96N,10:32:33,50.0,---,---,---,---,
A96N,10:33:08,50.5,---,---,---,---,
A96N,10:33:44,50.2,---,---,---,---,
A96N,10:34:19,50.7,---,---,---,---,
A96N,10:34:55,49.6,---,---,---,---,
A96N,10:35:30,50.4,---,---,---,---,
A96N,10:36:05,51.0,---,---,---,---,
