[NOTUS TEXTFILE V3.1]
File Created: 06-Aug-2019 16:11:22
Tow Date: 06-Aug-2019 9:26:03


Transponder: C24S
Placement: Starboard

Code,Time,Range(m),Data(m),Latitude,Longitude,Echo Sounder(m),Comment
G72H,09:36:42,---,---,---,---,---,
G72H,09:37:26,---,---,---,---,---,
G72H,09:38:10,---,---,---,---,---,
G72H,09:38:54,---,---,---,---,---,
G72H,09:39:38,---,---,---,---,---,
G72H,09:40:22,---,---,---,---,---,
G72H,09:41:06,---,---,---,---,---,
G72H,09:41:50,---,---,---,---,---,
G72H,09:42:34,---,---,---,---,---,
G72H,09:43:18,---,---,---,---,---,
G72H,09:44:02,---,---,---,---,---,
G72H,09:44:46,---,---,---,---,---,
G72H,09:45:30,---,---,---,---,---,
G72H,09:46:14,---,---,---,---,---,
G72H,09:46:59,---,---,---,---,---,
G72H,09:47:43,---,---,---,---,---,
G72H,09:48:27,---,---,---,---,---,
G72H,09:49:11,---,---,---,---,---,
G72H,09:49:55,---,---,---,---,---,
G72H,09:50:39,---,---,---,---,---,
G72H,09:51:23,---,---,---,---,---,
G72H,09:52:07,---,---,---,---,---,
G72H,09:52:51,---,---,---,---,---,
G72H,09:53:35,---,---,---,---,---,
G72H,09:54:19,---,---,---,---,---,
G72H,09:55:03,---,---,---,---,---,
G72H,09:55:47,---,---,---,---,---,
G72H,09:56:31,---,---,---,---,---,
G72H,09:57:16,---,---,---,---,---,
G72H,09:58:00,---,---,---,---,---,
G72H,09:58:44,---,---,---,---,---,
G72H,09:59:28,---,---,---,---,---,
G72H,10:00:12,---,---,---,---,---,
G72H,10:00:56,---,---,---,---,---,
G72H,10:01:40,---,---,---,---,---,
G72H,10:02:24,---,---,---,---,---,
G72H,10:03:08,---,---,---,---,---,
G72H,10:03:52,---,---,---,---,---,
G72H,10:04:36,---,---,---,---,---,
G72H,10:05:20,---,---,---,---,---,
G72H,10:06:04,---,---,---,---,---,
G72H,10:06:48,---,---,---,---,---,
G72H,10:07:33,---,---,---,---,---,
G72H,10:08:17,---,---,---,---,---,
G72H,10:09:01,---,---,---,---,---,
G72H,10:09:45,---,---,---,---,---,
G72H,10:10:29,---,---,---,---,---,
G72H,10:11:13,---,---,---,---,---,
G72H,10:11:57,---,---,---,---,---,
G72H,10:12:41,---,---,---,---,---,
G72H,10:13:25,---,---,---,---,---,
G72H,10:14:09,---,---,---,---,---,
