FileName: C:\2005NE~1\GP252.TXT
Local Time: Fri Sep 16 18:14:43 2005

Ship: Marco Michel Trip: 09 Tow: gp252
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050916  212035  47  12.1440 N  60  42.2890 W   2.0        3.4        2.3        8.1        8.1*     105.6 
050916  212037  47  12.1430 N  60  42.2900 W   2.2        3.4        2.3        8.1        8.1      110.4*
050916  212039  47  12.1420 N  60  42.2910 W   2.3        3.4        2.3        8.1        8.1      110.4 
050916  212041  47  12.1420 N  60  42.2910 W   1.8        3.4        2.3        8.1        8.1*     110.4 
050916  212043  47  12.1400 N  60  42.2920 W   2.0        3.4        2.3        8.1        8.1      107.8*
050916  212045  47  12.1390 N  60  42.2930 W   2.0        3.4        2.3        8.1        8.1      107.8 
050916  212047  47  12.1380 N  60  42.2950 W   1.6        3.4        2.3        8.1        7.4*     107.8 
050916  212049  47  12.1370 N  60  42.2950 W   2.8        3.0*       2.3        8.1        7.4      112.2*
050916  212051  47  12.1350 N  60  42.2970 W   1.5        3.0        2.3        8.1        7.6*     112.2 
050916  212053  47  12.1340 N  60  42.2970 W   2.6        3.0        2.3        8.1        7.6      109.5*
050916  212055  47  12.1330 N  60  42.2980 W   1.5        3.0        2.3        8.1        7.6      109.5 
050916  212057  47  12.1320 N  60  42.2990 W   2.2        3.0        2.3        8.1        7.2*     109.5 
050916  212059  47  12.1310 N  60  42.3000 W   1.9        3.0        2.3        8.1        7.2      111.3*
050916  212101  47  12.1300 N  60  42.3000 W   2.3        3.0        2.3        8.1        7.2      111.3 
050916  212103  47  12.1300 N  60  42.3000 W   2.0        3.0        2.3        8.1       13.1*     111.3 
050916  212105  47  12.1290 N  60  42.3010 W   1.9        3.0        2.3        8.1       13.1      110.4*
050916  212107  47  12.1270 N  60  42.3020 W   2.3        3.0        2.3        8.1        2.2*     110.4 
050916  212109  47  12.1260 N  60  42.3030 W   2.0        3.0        2.3        8.1        2.2      110.4 
050916  212111  47  12.1250 N  60  42.3040 W   2.1        3.0        2.3        8.1        2.2      111.3*
050916  212113  47  12.1240 N  60  42.3050 W   2.0        3.0       11.5*       8.1        7.6*     111.3 
050916  212115  47  12.1240 N  60  42.3060 W   2.4        3.0       11.5        8.1        7.6      111.3*
050916  212117  47  12.1230 N  60  42.3070 W   1.7        3.0       11.5        8.1        8.0*     111.3 
050916  212119  47  12.1220 N  60  42.3080 W   2.6        3.0       11.5        8.1        8.0      111.3 
050916  212121  47  12.1200 N  60  42.3090 W   1.4        3.0       11.5        8.1        8.0      112.2*
050916  212123  47  12.1190 N  60  42.3090 W   2.6        3.0       11.5        8.1        8.0*     112.2 
050916  212125  47  12.1180 N  60  42.3100 W   1.6        3.0       11.8*       8.1        8.0      112.2 
050916  212127  47  12.1170 N  60  42.3110 W   2.2        3.0       11.8        8.1        8.0      110.4*
050916  212129  47  12.1160 N  60  42.3110 W   2.2        3.0       11.8        8.1        8.0*     110.4 
050916  212131  47  12.1150 N  60  42.3130 W   1.8        3.0       11.8        8.1        8.0      110.4 
050916  212133  47  12.1130 N  60  42.3130 W   2.4        3.0       11.8        8.1        8.0*     111.7*
050916  212135  47  12.1130 N  60  42.3140 W   1.6        3.0       11.8        8.1        8.0      111.7 
050916  212137  47  12.1120 N  60  42.3140 W   2.6        3.0       11.6*       8.1        8.0      113.0*
050916  212139  47  12.1110 N  60  42.3150 W   1.5        3.0       11.6        8.1        8.5*     113.0 
050916  212141  47  12.1100 N  60  42.3160 W   2.6        3.0       11.6        8.1        8.5      113.0 
050916  212143  47  12.1090 N  60  42.3170 W   1.6        3.0       11.6        8.1        8.5      111.3*
050916  212145  47  12.1080 N  60  42.3180 W   2.4        3.0       11.6        8.1       18.0*     111.3 
050916  212147  47  12.1060 N  60  42.3190 W   1.9        3.0       11.6        8.1       18.0      111.3 
050916  212149  47  12.1050 N  60  42.3190 W   2.5        3.0        9.8*       8.1       13.9*     110.8*
050916  212151  47  12.1040 N  60  42.3210 W   1.7        3.0        9.8        8.1       13.9      110.8 
050916  212153  47  12.1030 N  60  42.3220 W   2.5        3.0        9.8        8.1       13.9      113.0*
050916  212155  47  12.1020 N  60  42.3230 W   1.4        3.0        9.8        8.1       13.9      113.0 
050916  212157  47  12.1010 N  60  42.3230 W   2.3        3.0        9.8        8.1       13.9      113.0 
050916  212159  47  12.1000 N  60  42.3240 W   1.6        3.0        9.8        8.1        8.6*     109.5*
050916  212201  47  12.0990 N  60  42.3250 W   2.6        3.0        9.8        8.1        8.6      109.5 
050916  212203  47  12.0980 N  60  42.3260 W   1.6        3.0        9.8        8.1        8.6      109.5 
050916  212205  47  12.0970 N  60  42.3270 W   2.2        3.0        9.8        8.1        8.3*     110.8*
050916  212207  47  12.0960 N  60  42.3270 W   2.0        3.0        9.8        8.1        8.3      110.8 
050916  212209  47  12.0950 N  60  42.3290 W   2.2        3.0        9.8        8.1        8.3      110.8 
050916  212211  47  12.0940 N  60  42.3290 W   2.2        3.0        9.8        8.1        7.6*     112.2*
050916  212213  47  12.0930 N  60  42.3300 W   2.0        3.0        9.8        8.1        7.6      112.2 
050916  212215  47  12.0930 N  60  42.3310 W   2.2        3.0        9.8        8.1        8.4*     113.5*
050916  212217  47  12.0910 N  60  42.3320 W   2.1        3.0        9.8        8.1        8.4      113.5 
050916  212219  47  12.0900 N  60  42.3330 W   2.2        3.0        9.8        8.1        8.4      113.5 
050916  212221  47  12.0890 N  60  42.3340 W   1.9        3.0        9.8        8.1        8.2*     109.5*
050916  212223  47  12.0880 N  60  42.3340 W   2.5        3.0        9.8        8.1        8.2      109.5 
050916  212225  47  12.0870 N  60  42.3360 W   1.6        3.0       11.7*       8.1        8.2      109.5 
050916  212227  47  12.0860 N  60  42.3360 W   2.4        3.0       11.7        8.1        8.6*     112.6*
050916  212229  47  12.0850 N  60  42.3370 W   1.9        3.0       11.7        8.1        8.6      112.6 
050916  212231  47  12.0830 N  60  42.3380 W   2.2        3.0       11.7        8.1       15.0*     112.6 
050916  212233  47  12.0830 N  60  42.3390 W   2.0        3.0       11.7        8.1       15.0      111.3*
050916  212236  47  12.0810 N  60  42.3400 W   1.9        3.0       11.7        8.1       15.0      111.3 
050916  212237  47  12.0810 N  60  42.3410 W   1.9        3.0       10.1*       8.1        1.4*     110.8*
050916  212239  47  12.0790 N  60  42.3420 W   2.3        3.0       10.1        8.1        1.4      110.8 
050916  212241  47  12.0790 N  60  42.3430 W   2.2        3.0       10.1        8.1        8.3*     110.8 
050916  212243  47  12.0780 N  60  42.3430 W   1.7        3.0       10.1        8.1        8.3      111.3*
050916  212245  47  12.0770 N  60  42.3440 W   2.7        3.0       10.1        8.1        8.3      111.3 
050916  212248  47  12.0760 N  60  42.3450 W   1.5        3.0       10.1        8.1        8.7*     111.3 
