FileName: C:\2005NE~1\GP258.TXT
Local Time: Sat Sep 17 17:19:31 2005

Ship: Marco Michel Trip: 09 Tow: gp258
Comments: zone 19
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050917  202550  46  54.1570 N  61  14.5090 W   2.1       11.4       10.9        0.0       10.7       65.5 
050917  202552  46  54.1560 N  61  14.5080 W   2.2       11.4       10.9        0.0       10.5*      65.5 
050917  202554  46  54.1550 N  61  14.5070 W   2.1       11.4       10.9        0.0       10.5       66.0*
050917  202556  46  54.1540 N  61  14.5060 W   2.2       11.4       10.9        0.0        9.5*      66.0 
050917  202558  46  54.1520 N  61  14.5050 W   2.1       11.4       10.9        0.0        9.5       66.0 
050917  202600  46  54.1510 N  61  14.5040 W   2.1       11.4       10.9        0.0        9.5       66.9*
050917  202602  46  54.1500 N  61  14.5040 W   2.1       11.4       10.9        0.0       11.0*      66.9 
050917  202604  46  54.1490 N  61  14.5030 W   2.3       11.4       10.9        0.0       11.0       68.2*
050917  202606  46  54.1480 N  61  14.5030 W   2.2       11.4       10.9        0.0       11.0       68.2 
050917  202608  46  54.1470 N  61  14.5010 W   2.3       11.4       10.9        0.0       14.0*      68.2 
050917  202610  46  54.1460 N  61  14.5010 W   2.2       11.4       10.9        0.0       14.0       64.2*
050917  202612  46  54.1450 N  61  14.4990 W   2.1       11.4       10.9        0.0        5.9*      64.2 
050917  202614  46  54.1440 N  61  14.4980 W   2.3       11.4       10.9        0.0        5.9       64.2 
050917  202616  46  54.1430 N  61  14.4980 W   2.2       11.4       10.9        0.0        5.9       65.1*
050917  202618  46  54.1420 N  61  14.4970 W   2.1       11.4       10.9        0.0       10.2*      65.1 
050917  202620  46  54.1410 N  61  14.4960 W   2.1       11.4       10.9        0.0       10.2       64.2*
050917  202622  46  54.1400 N  61  14.4950 W   2.4       11.4       10.9        0.0       10.2*      64.2 
050917  202624  46  54.1390 N  61  14.4940 W   1.9       11.4       10.9        0.0       10.2       64.2 
050917  202626  46  54.1380 N  61  14.4930 W   2.3       11.4       10.9        0.0       10.2       66.0*
050917  202628  46  54.1370 N  61  14.4920 W   1.9       11.4       10.9        0.0        9.9*      66.0 
050917  202630  46  54.1360 N  61  14.4910 W   2.2       11.4       10.9        0.0        9.9       66.0 
050917  202632  46  54.1350 N  61  14.4910 W   1.8       11.4       10.9        0.0        9.9       68.2*
050917  202634  46  54.1340 N  61  14.4900 W   2.3       11.4       10.9        0.0       10.5*      68.2 
050917  202636  46  54.1330 N  61  14.4890 W   1.9       11.4       10.9        0.0       10.5       68.2 
050917  202638  46  54.1320 N  61  14.4880 W   2.0       11.4       10.9        0.0       10.5       68.2 
050917  202640  46  54.1310 N  61  14.4870 W   1.9       11.4       10.9        0.0       10.6*      68.2 
050917  202642  46  54.1300 N  61  14.4860 W   2.1       11.4       10.9        0.0       10.6      228.3*
050917  202644  46  54.1290 N  61  14.4860 W   1.8       11.4       10.9        0.0        9.8*     228.3 
050917  202646  46  54.1280 N  61  14.4850 W   2.0       11.4       10.9        0.0        9.8      228.3 
050917  202648  46  54.1270 N  61  14.4840 W   2.1       11.4       10.9        0.0        9.8       64.2*
050917  202650  46  54.1260 N  61  14.4830 W   1.8       11.4       10.9        0.0       11.0*      64.2 
050917  202652  46  54.1250 N  61  14.4820 W   1.9       11.4       10.9        0.0       11.0       68.6*
050917  202654  46  54.1240 N  61  14.4810 W   1.9       11.4       10.9        0.0       10.5*      68.6 
