FileName: C:\2005NE~1\GP155.TXT
Local Time: Sat Aug 27 13:35:30 2005

Ship: Marco Michel Trip: 08 Tow: gp155
Comments: zone 12
 Date    Time     Latitude       Longitude    Speed    Primary  Secondary DoorSpread WingSpread      Depth 
050827  164323  47  55.1630 N  64   2.4840 W   1.8        4.7       11.1        8.1        0.0      109.5 
050827  164325  47  55.1620 N  64   2.4840 W   1.8        4.7       11.1        8.1        0.0       86.2*
050827  164327  47  55.1610 N  64   2.4850 W   2.0        4.7       11.1        8.1        0.0       86.2 
050827  164329  47  55.1600 N  64   2.4860 W   2.0        4.7       11.1        8.1        0.0       86.2 
050827  164331  47  55.1590 N  64   2.4870 W   2.0        4.7       11.1        6.3*       0.0       88.9*
050827  164333  47  55.1580 N  64   2.4880 W   2.0        4.7       11.1        6.3        0.0       88.9 
050827  164335  47  55.1570 N  64   2.4890 W   2.0        4.7       11.1        5.0*       0.0       85.3*
050827  164337  47  55.1560 N  64   2.4900 W   2.0        4.7       11.1        5.0        0.0       85.3 
050827  164339  47  55.1550 N  64   2.4910 W   2.1        4.7       11.1        5.0        0.0       85.3 
050827  164341  47  55.1540 N  64   2.4920 W   2.0        4.7       11.1        4.0*       0.0       88.0*
050827  164343  47  55.1530 N  64   2.4930 W   2.0        4.7       11.1        4.0        0.0       88.0 
050827  164345  47  55.1520 N  64   2.4940 W   1.9        4.7       11.1        4.0        0.0       88.0 
050827  164347  47  55.1510 N  64   2.4940 W   1.9        4.7       11.1        4.7*       0.0       88.9*
050827  164349  47  55.1500 N  64   2.4950 W   1.8        4.7       11.1        4.7        0.0       88.9 
050827  164351  47  55.1490 N  64   2.4960 W   1.9        4.7       11.1        4.3*       0.0       88.9 
050827  164353  47  55.1470 N  64   2.4970 W   1.8        4.7       11.1        4.3        0.0       87.5*
050827  164355  47  55.1460 N  64   2.4980 W   1.8        4.7       11.1        4.3        0.0       87.5 
050827  164357  47  55.1460 N  64   2.4990 W   1.7        4.7       11.1        4.1*       0.0       88.0*
050827  164359  47  55.1450 N  64   2.5000 W   1.7        4.7       11.1        4.1        0.0       88.0 
050827  164401  47  55.1440 N  64   2.5000 W   1.7        4.7       11.1        4.1*       0.0       88.0 
050827  164403  47  55.1430 N  64   2.5010 W   1.7        2.2*      11.1        4.1        0.0       85.8*
050827  164405  47  55.1420 N  64   2.5020 W   1.8        2.2       11.1        4.1        0.0       85.8 
050827  164407  47  55.1410 N  64   2.5030 W   1.8        2.2       11.1        4.6*       0.0       85.8 
050827  164409  47  55.1400 N  64   2.5030 W   1.8        2.2       11.1        4.6        0.0       88.9*
050827  164411  47  55.1390 N  64   2.5040 W   1.7        2.2       11.1        4.6        0.0       88.9 
050827  164413  47  55.1390 N  64   2.5040 W   1.8        2.2       11.1        4.3*       0.0       86.7*
050827  164415  47  55.1380 N  64   2.5040 W   1.8        2.2       11.1        4.3        0.0       86.7 
050827  164417  47  55.1380 N  64   2.5050 W   1.8        2.2       11.1        3.9*       0.0       86.7 
050827  164419  47  55.1370 N  64   2.5060 W   1.8        2.2       11.1        3.9        0.0       88.0*
050827  164421  47  55.1360 N  64   2.5070 W   1.8        2.2       11.1        3.9        0.0       88.0 
050827  164423  47  55.1350 N  64   2.5080 W   1.7        2.2       11.1        4.4*       0.0       88.0 
050827  164425  47  55.1330 N  64   2.5080 W   1.8        2.2       11.1        4.4        0.0       88.4*
050827  164427  47  55.1330 N  64   2.5090 W   1.8        2.2       11.1        4.3*       0.0       88.4 
050827  164429  47  55.1320 N  64   2.5100 W   1.8        2.2       11.1        4.3        0.0       88.0*
