% Instrument type = SBE56
% Serial Number = 05607477
% Firmware Version = SBE56 V0.96
% Conversion Date = 2018-09-12
% Source file = C:\Users\Temp\Desktop\MINILOG 2018\test\anchor outside 19 2017\SBE05607477_2018-09-12.xml
% Calibration Date = 2017-01-27
% Coefficients: 
%       A0 = -1.295961E-3
%       A1 = 3.416024E-4
%       A2 = -5.879263E-6
%       A3 = 1.880126E-7
"Date","Time","Temperature"
"2017-09-08","05:07:02","21.9688"
"2017-09-08","06:07:02","21.8401"
"2017-09-08","07:07:02","21.6695"
"2017-09-08","08:07:02","21.6156"
"2017-09-08","09:07:02","21.5846"
"2017-09-08","10:07:02","21.7473"
"2017-09-08","11:07:02","21.9754"
"2017-09-08","12:07:02","22.1308"
"2017-09-08","13:07:02","22.3581"
"2017-09-08","14:07:02","22.6976"
"2017-09-08","15:07:02","23.1460"
"2017-09-08","16:07:02","23.4816"
"2017-09-08","17:07:02","23.6948"
"2017-09-08","18:07:02","24.0748"
"2017-09-08","19:07:02","24.0816"
"2017-09-08","20:07:02","24.1573"
"2017-09-08","21:07:02","24.2570"
"2017-09-08","22:07:02","23.6602"
"2017-09-08","23:07:02","23.4627"
"2017-09-09","00:07:02","23.2775"
"2017-09-09","01:07:02","23.1307"
"2017-09-09","02:07:02","23.0981"
"2017-09-09","03:07:02","22.9035"
"2017-09-09","04:07:02","22.5731"
"2017-09-09","05:07:02","22.4242"
"2017-09-09","06:07:02","22.3214"
"2017-09-09","07:07:02","22.2863"
"2017-09-09","08:07:02","22.4075"
"2017-09-09","09:07:02","22.5394"
"2017-09-09","10:07:02","22.7059"
"2017-09-09","11:07:02","22.9975"
"2017-09-09","12:07:02","23.2150"
"2017-09-09","13:07:02","23.4379"
"2017-09-09","14:07:02","23.6335"
"2017-09-09","15:07:02","23.7888"
"2017-09-09","16:07:02","24.0854"
"2017-09-09","17:07:02","23.9996"
"2017-09-09","18:07:02","23.9698"
"2017-09-09","19:07:02","23.8229"
"2017-09-09","20:07:02","23.6660"
"2017-09-09","21:07:02","23.4342"
"2017-09-09","22:07:02","23.2680"
"2017-09-09","23:07:02","22.9740"
"2017-09-10","00:07:02","22.7360"
"2017-09-10","01:07:02","22.6265"
"2017-09-10","02:07:02","22.5210"
"2017-09-10","03:07:02","22.3687"
"2017-09-10","04:07:02","22.1496"
"2017-09-10","05:07:02","21.9125"
"2017-09-10","06:07:02","21.7524"
"2017-09-10","07:07:02","21.5439"
"2017-09-10","08:07:02","21.2220"
"2017-09-10","09:07:02","21.0308"
"2017-09-10","10:07:02","21.1809"
"2017-09-10","11:07:02","21.3389"
"2017-09-10","12:07:02","21.3516"
"2017-09-10","13:07:02","21.3439"
"2017-09-10","14:07:02","21.4604"
"2017-09-10","15:07:02","21.5661"
"2017-09-10","16:07:02","21.7194"
"2017-09-10","17:07:02","21.8740"
"2017-09-10","18:07:02","22.1438"
"2017-09-10","19:07:02","22.3182"
"2017-09-10","20:07:02","22.3827"
"2017-09-10","21:07:02","22.0438"
"2017-09-10","22:07:02","21.8145"
"2017-09-10","23:07:02","21.5489"
"2017-09-11","00:07:02","21.2475"
"2017-09-11","01:07:02","20.9480"
"2017-09-11","02:07:02","20.6685"
"2017-09-11","03:07:02","20.4095"
"2017-09-11","04:07:02","20.1620"
"2017-09-11","05:07:02","19.9168"
"2017-09-11","06:07:02","19.6837"
"2017-09-11","07:07:02","19.4800"
"2017-09-11","08:07:02","19.3146"
"2017-09-11","09:07:02","19.2511"
"2017-09-11","10:07:02","19.3236"
"2017-09-11","11:07:02","19.5626"
"2017-09-11","12:07:02","19.7254"
"2017-09-11","13:07:02","19.9507"
"2017-09-11","14:07:02","20.2349"
"2017-09-11","15:07:02","20.5669"
"2017-09-11","16:07:02","20.7888"
"2017-09-11","17:07:02","20.9332"
"2017-09-11","18:07:02","20.9567"
"2017-09-11","19:07:02","20.8944"
"2017-09-11","20:07:02","20.7249"
"2017-09-11","21:07:02","20.5076"
"2017-09-11","22:07:02","20.2707"
"2017-09-11","23:07:02","20.0043"
"2017-09-12","00:07:02","19.7665"
"2017-09-12","01:07:02","19.5587"
"2017-09-12","02:07:02","19.3601"
"2017-09-12","03:07:02","19.1630"
"2017-09-12","04:07:02","18.9733"
"2017-09-12","05:07:02","18.7956"
"2017-09-12","06:07:02","18.6033"
"2017-09-12","07:07:02","18.3912"
"2017-09-12","08:07:02","18.2348"
"2017-09-12","09:07:02","18.1644"
"2017-09-12","10:07:02","18.0706"
"2017-09-12","11:07:02","18.0153"
"2017-09-12","12:07:02","18.0245"
"2017-09-12","13:07:02","18.1079"
"2017-09-12","14:07:02","18.2544"
"2017-09-12","15:07:02","18.4556"
"2017-09-12","16:07:02","18.8179"
"2017-09-12","17:07:02","19.0336"
"2017-09-12","18:07:02","19.0863"
"2017-09-12","19:07:02","19.0372"
"2017-09-12","20:07:02","18.9554"
"2017-09-12","21:07:02","19.3501"
